semester,term-start,class-end,term-end,no-class-days,zoom-office
201830,5-Sep-2018,6-Dec-2018,21-Dec-18,"08 Oct,07 Nov,08 Nov,09 Nov,10 Nov,12 Nov"
201910,8-Jan-2019,11-Apr-2019,29-Apr-19,"18 Feb,19 Feb,20 Feb,21 Feb,22 Feb,23 Feb,19 Apr"
201920,6-May-19,21-Aug-19,28-Aug-19,"20 May,01 Jul,05 Aug"
201930,4-Sep-19,6-Dec-19,21-Dec-19,"02 Sep,14 Oct,06 Nov,07 Nov,08 Nov,09 Nov,11 Nov"
202010,6-Jan-20,9-Apr-20,25-Apr-20,"17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,10-Apr"
202020,4-May-20,19-Aug-20,26-Aug-20,"18 May,01 Jul,03 Aug"
202030,2-Sep-20,8-Dec-20,23-Dec-20,"07-Sep-20,12-Oct-20,09-Nov-20,10-Nov-20,11-Nov-20,12-Nov-20,13-Nov-20,14-Nov-20"
202110,11-Jan-21,15-Apr-21,30-Apr-21,"15-Feb-21,16-Feb-21,17-Feb-21,18-Feb-21,19-Feb-21,20-Feb-21,2-Apr-21",https://uregina-ca.zoom.us/j/95236861406?pwd=UmE0RjhIMnNCSnV1TlBDc0dKOEhOUT09
202120,,,,,,
202130,30-Aug-21,6-Dec-21,22-Dec-21,"6-Sep-21,30-Sep-21,11-Oct-21,8-Nov-21,9-Nov-21,10-Nov-21,11-Nov-21,12-Nov-21,13-Nov-21",https://uregina-ca.zoom.us/
